Proteins,p_value ,q-value L166P(1&2)/WT,FC
AAAS,1.04507,0.527735,0.264457
AACS,0.425439,0.630063,0.213715
AAGAB,0.613798,0.458141,-0.358608
AAK1,1.35338,0.352383,0.437399
AAMDC,0.313874,0.728273,0.1609
AAMP,0.889084,0.201434,-0.919678
AAR2,0.596601,0.782564,-0.110495
AARS1,1.19671,0.432746,-0.347404
AARS2,2.50264,0.231558,-0.611503
AARSD1,1.28768,0.430454,0.34563
AASDHPPT,2.54607,0.133627,-0.933698
AASS,0.413515,0.705676,-0.160632
AATF,2.77946,0.0971195,1.08335
ABAT,3.95069,0.03021,1.53192
ABCA1,2.58742,0.158786,0.824167
ABCA2,0.705473,0.576849,-0.239501
ABCA3,2.70824,0.0387134,1.61921
ABCA8,1.9521,0.134013,-0.992089
ABCB1,4.78133,0.00352055,3.60463
ABCB10,2.81443,0.128041,-0.939063
ABCB6,0.584001,0.538149,-0.279048
ABCB7,1.31213,0.164367,-0.964521
ABCB8,2.53552,0.148939,-0.86651
ABCC1,1.99778,0.184479,-0.775049
ABCC10,0.185538,0.784494,0.127495
ABCC3,3.10329,0.0391698,-1.53076
ABCC4,0.545928,0.465006,0.360047
ABCD1,0.782102,0.290603,-0.626327
ABCD3,1.98378,0.111348,-1.11272
ABCE1,2.08188,0.132835,-0.983519
ABCF1,3.77428,0.12371,-0.904312
ABCF2,0.521123,0.790271,-0.106414
ABCF3,1.06246,0.404896,-0.381688
ABHD10,2.42849,0.109543,-1.05621
ABHD11,1.25317,0.430398,0.346248
ABHD12,3.83724,0.00740048,-2.2606
ABHD13,3.40751,0.0596891,1.28113
ABHD14B,1.28334,0.22704,-0.712161
ABHD15,1.26417,0.286936,0.55973
ABHD16A,0.12329,0.883352,-0.066683
ABHD17A,0.73499,0.531335,-0.274181
ABHD17B,1.25445,0.110104,1.3263
ABHD4,2.08599,0.208876,0.689697
ABHD5,4.60402,0.0600818,1.20023
ABHD6,1.34363,0.166339,-0.945562
ABI1,2.51285,0.183828,0.743455
ABI2,1.60397,0.177165,0.848654
ABL1,0.776379,0.526883,-0.273178
ABL2,2.23598,0.128036,0.990577
ABLIM1,4.9436,0.00278947,3.64764
ABR,0.712207,0.489013,-0.315477
ABRACL,3.0414,0.0144224,2.11821
ABRAXAS1,0.431358,0.298547,0.81899
ABRAXAS2,0.579233,0.795335,0.102753
ABT1,0.124792,0.951816,0.0251349
ABTB2,3.27644,0.131421,0.892778
ACAA1,3.49854,0.0720478,1.18778
ACAA2,2.2656,0.161382,0.834873
ACACA,0.651968,0.549026,-0.264435
ACAD10,3.19725,0.156859,-0.799829
ACAD11,0.096442,0.897566,-0.0603224
ACAD8,1.53149,0.478655,0.291893
ACAD9,2.07426,0.100338,-1.16986
ACADM,1.16067,0.257967,-0.638147
ACADS,3.35377,0.239197,0.572139
ACADSB,1.67727,0.328993,-0.456553
ACADVL,1.77972,0.250575,-0.599305
ACAP2,0.280728,0.950731,-0.0246814
ACAP3,0.940153,0.614282,0.201644
ACAT1,2.38762,0.323539,0.444027
ACAT2,0.366385,0.400023,-0.556043
ACBD3,1.48025,0.485688,-0.287912
ACBD5,1.50899,0.130564,1.08654
ACBD6,0.204939,0.927964,0.0375029
ACD,0.885473,0.439209,0.354149
ACE,4.17438,0.00225424,-3.70666
ACIN1,2.63839,0.143188,-0.877811
ACKR3,1.91307,0.134052,0.991021
ACLY,1.061,0.397443,0.394934
ACO1,1.34255,0.342812,-0.452157
ACO2,0.39944,0.88806,0.0561602
ACOT1,0.968392,0.171272,-1.04743
ACOT11,3.67855,0.00429091,-3.03258
ACOT13,1.52892,0.0910168,-1.38197
ACOT7,2.38289,0.20781,0.675685
ACOT9,1.19284,0.496682,-0.284575
ACOX1,0.747267,0.5007,-0.299019
ACOX2,2.4373,0.101309,1.10566
ACOX3,2.59759,0.112767,1.02822
ACP1,2.02699,0.321409,0.456219
ACP2,2.1347,0.0701209,-1.38486
ACP6,1.0519,0.540492,0.259584
ACSF2,0.588641,0.482697,-0.333594
ACSF3,1.95428,0.412562,0.344761
ACSL1,1.31841,0.313706,-0.50145
ACSL3,1.72328,0.161685,-0.888812
ACSL4,0.377207,0.523302,-0.324272
ACSS1,4.21048,0.00947228,-2.06077
ACSS2,3.31482,0.103875,-1.00676
ACSS3,2.40177,0.111523,-1.05093
ACTA2,0.0511179,0.899139,-0.0722425
ACTBL2,0.140388,0.785223,0.141638
ACTC1,3.44386,0.202805,0.654966
ACTG1,1.04516,0.60535,0.205788
ACTL6A,5.52632,0.0368882,-1.35154
ACTN1,2.70448,0.165382,0.794524
ACTN4,0.0786388,0.914442,0.0520671
ACTR10,0.610545,0.3673,-0.495789
ACTR1A,0.331699,0.539848,-0.328729
ACTR1B,0.506684,0.624849,0.211118
ACTR2,2.52788,0.095249,1.11321
ACTR3,0.16663,0.858335,-0.0782954
ACTR3B,1.85685,0.0212115,2.44509
ACTR5,0.655145,0.589199,-0.229407
ACTR6,0.237181,0.670112,0.214809
ACTR8,2.1714,0.131105,-0.975736
ACTRT1,0.709242,0.214583,-0.946623
ACVR1,1.7782,0.169477,-0.858163
ACY1,1.59195,0.17017,0.881604
ACYP1,1.03904,0.519624,-0.269452
ACYP2,3.27155,0.0214448,1.78922
ADA,3.8335,0.248738,0.543995
ADAL,1.96288,0.125529,-1.03922
ADAM10,2.50452,0.181705,-0.749857
ADAM12,2.73505,0.00585583,2.94277
ADAM15,0.196987,0.818383,0.102345
ADAM17,2.83256,0.173983,0.763489
ADAM19,2.92536,0.0215092,1.89774
ADAM9,1.68258,0.0966118,1.25798
ADAMTS1,0.715112,0.41297,-0.402405
ADAMTS12,4.7321,0.00359574,3.13094
ADAMTS15,3.68811,0.007195,-2.30474
ADAP1,3.7378,0.0103922,2.13914
ADAR,0.741476,0.610944,0.209885
ADARB1,0.825031,0.333987,-0.513942
ADAT1,2.75837,0.109062,1.02586
ADAT2,2.46116,0.248308,-0.575264
ADCK1,1.13768,0.269535,0.615759
ADCY3,1.93638,0.284043,-0.524064
ADCY5,2.39156,0.213634,-0.662444
ADCY6,0.581761,0.482074,-0.348524
ADCY7,1.45734,0.344526,-0.442881
ADCY9,1.68319,0.199771,0.752531
ADD1,1.87984,0.308355,-0.4826
ADD2,3.86908,0.00443243,3.09649
ADD3,1.04788,0.489589,-0.295994
ADGRA2,3.58856,0.00749029,-2.32914
ADGRE5,0.25088,0.717001,0.167958
ADGRG6,2.30953,0.045788,1.56221
ADGRL2,4.92067,0.0123076,-1.85191
ADGRL3,2.70159,0.0573941,1.37718
ADH1B,4.09511,0.0022931,-3.75291
ADH5,1.50942,0.177203,-0.863718
ADI1,0.223563,0.685494,0.20957
ADK,1.77625,0.134061,-1.02349
ADNP,1.27369,0.403259,-0.373063
ADO,2.45632,0.158987,0.830955
ADPGK,1.15675,0.332555,-0.480371
ADPRHL1,0.387672,0.499623,-0.349111
ADPRS,2.76757,0.11378,1.00189
ADRM1,0.0657073,0.941577,0.0337693
ADSL,0.968609,0.521779,-0.270187
ADSS1,0.398794,0.681026,-0.184343
ADSS2,1.00625,0.495875,0.300649
AEBP1,1.28742,0.13218,-1.14665
AFAP1,4.86332,0.0135644,1.83262
AFAP1L2,3.54763,0.0161772,-1.91927
AFDN,3.14627,0.119727,-0.946918
AFF1,0.453172,0.206664,-1.46844
AFF3,1.75234,0.117804,1.12256
AFF4,1.52545,0.271594,0.569848
AFG1L,1.60311,0.0267681,-2.45889
AFG3L2,1.24237,0.618042,0.194911
AFTPH,2.43667,0.109531,1.05069
AGA,2.63188,0.117933,1.00252
AGAP1,1.52506,0.18122,0.841098
AGAP3,2.45351,0.0928144,1.14732
AGFG1,2.22966,0.113185,-1.06196
AGFG2,1.7426,0.0512425,1.69181
AGGF1,0.412932,0.745344,-0.136621
AGK,2.32494,0.0763134,-1.30405
AGL,0.987698,0.527044,-0.269379
AGO1,2.86796,0.1594,-0.806118
