Gene Symbol,WT_exp1,WT_exp2,WT_exp3,L166P_exp1,L166P_exp2,L166P_exp3,L166P_exp4,L166P_exp5,L166P_exp6
AAAS,8.784930824,8.670428784,8.654011097,11.20036072,10.31384453,11.43133504,9.763381463,13.89814541,7.283562127
AACS,8.898556046,8.811548678,8.162677778,8.607710913,7.457538831,8.888691862,9.483499311,8.824949841,20.86482674
AAGAB,8.943110925,11.24944171,14.4242064,6.396202647,6.492597858,10.17879615,9.793397148,7.749788692,14.77245846
AAK1,8.027946053,8.152954925,7.547792845,13.43656115,12.75287479,7.898570769,10.33347289,14.35338601,7.49644057
AAMDC,10.57028073,10.33883412,7.104164021,10.35102763,10.74679282,9.803490024,11.68066379,11.0220231,8.382723778
AAMP,9.087678196,11.24624957,22.37668935,5.514199167,3.870387339,6.389343281,6.606246007,7.1233938,17.78581329
AAR2,10.2788992,10.524161,10.56318742,10.0235632,8.456601689,8.581515385,9.412537188,9.55850339,12.60103152
AARS1,13.20537987,11.65488585,10.08708684,7.961438711,8.537802827,11.39471946,10.07221248,8.917740508,8.168733448
AARS2,14.21059953,12.80334836,11.71215284,6.512387281,6.772462399,9.712092733,9.358841147,8.808773372,10.10934234
AARSD1,7.317084681,8.741857009,9.294243056,12.61298195,9.785765125,9.311507216,10.35966688,12.85688869,9.7200054
AASDHPPT,12.67516597,14.31343373,16.08300747,6.787226757,6.178176757,7.824522906,6.852354313,5.76593273,13.52017937
AASS,11.80092612,10.4260711,9.557564144,6.908681013,8.118444724,13.58549462,11.17790247,7.936136873,10.48877894
AATF,5.536757387,5.547659524,5.648773591,15.34395511,12.98256897,13.37970008,12.96507036,12.05266902,6.542845963
ABAT,4.469276576,4.051099991,4.423662201,16.3308108,14.19098157,9.085041565,10.88795792,9.708261342,16.85290804
ABCA1,6.401972881,6.180829602,6.774534558,8.773561247,9.116018104,11.78705317,10.98735148,11.67502248,18.30365648
ABCA2,9.939116775,10.30255147,13.05358391,9.259205117,8.125210196,8.576315255,10.46282965,12.39546976,7.885717874
