,ZaggSC,TANGO
A1BG,0.78,3.44
A1CF,0.8,3.38
A2M,0.13,3.46
A2ML1,-0.72,3.46
A3GALT2,-1.36,3.09
A4GALT,0.81,2.8
A4GNT,0.71,2.96
AAAS,0.23,3.42
AACS,0.02,3.42
AADAC,0.12,3.4
AADACL2,-0.83,3.35
AADACL3,-0.85,3.32
AADACL4,-0.76,3.43
AADAT,-0.14,3.43
AAGAB,0.06,3.39
AAK1,-0.36,3.39
AAMDC,2.37,2.36
AAMP,1.93,1.57
AANAT,0.83,1.97
AAR2,0.56,3.16
AARD,1.79,2.9
AARS1,-1.38,3.75
AARS2,-1.59,2.15
AARSD1,0.87,0.67
AASDH,0.12,3.21
AASDHPPT,-0.61,3.22
AASS,0.2,0.12
AATF,-1.4,3.84
AATK,-0.43,2.86
ABAT,-1.02,3.38
ABCA1,-2.5,3.86
ABCA10,-0.91,3.13
ABCA12,-1.33,3.06
ABCA13,0.21,2.76
ABCA2,-2.74,3.84
ABCA3,-2.53,3.96
ABCA4,-0.06,2.6
ABCA5,0.64,3.11
ABCA6,-1.45,3.29
ABCA7,-0.56,2.74
ABCA8,-0.44,3.25
ABCA9,-1.31,3.56
ABCB1,1.08,2.42
ABCB10,1.75,2.52
ABCB11,—,3.24
ABCB4,1.74,2.25
ABCB5,-0.18,2.88
ABCB6,0.85,1.25
ABCB7,-2.18,3.46
ABCB9,1.4,2.97
ABCC1,-0.88,2.72
ABCC10,-0.82,3.35
ABCC12,-0.72,3.34
ABCC2,-1.56,3.58
ABCC3,-1.14,2.98
ABCC4,-0.55,3.18
ABCC5,-0.68,3.48
ABCC6,-0.7,2.63
ABCC8,0.08,3.21
ABCC9,—,3.31
ABCD1,-1.08,3.51
ABCD2,-0.6,3.1
ABCD3,-0.2,2.69
ABCD4,2.51,1.06
ABCE1,2.28,3.33
ABCF1,2.32,3.33
ABCF2,2.29,3.33
ABCF3,2.26,3.38
ABCG1,0.88,2.81
ABCG2,4.3,—
ABCG4,-1.78,3.44
ABCG5,-1.26,3.05
ABCG8,0.06,3.9
ABHD1,1.09,3.42
ABHD10,-2.24,3.31
ABHD11,-1.6,3.39
ABHD12,-0.3,3.82
ABHD12B,-2.33,3.89
ABHD13,-2.84,3.99
ABHD14A,-1.1,3.69
ABHD14B,-1.39,3.42
ABHD15,—,3.3
ABHD16A,-1.35,3.08
ABHD16B,-0.25,3.06
ABHD17A,-2.93,4
ABHD17B,-1.64,3.85
ABHD17C,-2.41,3.96
ABHD18,1.48,2.86
ABHD2,-1.33,1.72
ABHD3,-3.31,3.99
ABHD4,-2.92,3.94
ABHD5,-3.24,3.86
ABHD6,-1.93,4.02
ABHD8,-3.13,4.13
ABI1,0.82,3.26
ABI2,0.42,2.8
ABI3,0.36,2.75
ABI3BP,-0.91,3.28
ABITRAM,-1,3.31
ABL1,0.18,3.24
ABL2,-0.73,3.34
ABLIM1,1.23,1.46
ABLIM2,-0.39,2.83
ABLIM3,0.24,3.05
ABO,0.99,3.31
ABR,1.15,3.12
ABRA,-1.36,3.39
ABRACL,-0.19,3.14
ABRAXAS1,—,-0.26
ABRAXAS2,0.17,0.28
ABT1,-1.04,3.04
ABTB1,-2.09,3.35
ABTB2,-0.71,2.91
ACAA1,-1.23,3.54
ACAA2,-1.47,3.32
ACACA,1.52,2.71
ACACB,-0.47,2.94
ACAD10,-1.98,4.33
ACAD11,-1.83,4.31
ACAD8,-1.38,3.31
ACAD9,-0.76,2.51
ACADL,-1.21,2.57
ACADM,—,2.54
ACADS,0.85,2.47
ACADSB,-2.04,4.3
ACADVL,-1.05,2.52
ACAN,-3.42,3.82
ACAP1,-1.8,3.2
ACAP2,-0.6,2.76
ACAP3,-0.34,3.2
ACAT1,-1.3,4.01
ACAT2,-1.76,3.3
ACBD3,-1.01,3.37
ACBD4,-0.46,3.38
ACBD5,-0.41,2.16
ACBD6,-1.73,4.33
ACBD7,-0.92,4.32
ACCS,0.83,3.43
ACCSL,0.75,3.45
ACD,-2,4.33
ACE,-1.73,4.06
ACE2,-2.16,4.32
ACER1,1.54,2.53
ACER2,-1.76,4.36
ACER3,-1.52,4.63
ACHE,-1.49,4.15
ACIN1,-2.07,3.89
ACKR1,-2.71,3.94
ACKR2,-2.46,3.84
ACKR3,-1.24,3.31
ACKR4,-0.65,2.88
ACLY,—,3.3
ACMSD,-1.54,3.1
ACO1,-1.84,2.88
ACO2,-0.45,3.67
ACOD1,-0.59,2.93
ACOT1,-1.49,3.16
ACOT11,-0.71,3.03
ACOT12,-2.83,3.56
ACOT13,-1.77,3.38
ACOT2,0.47,3.02
ACOT4,0.46,3.15
ACOT6,-0.52,2.24
ACOT7,-1.76,3.44
ACOT7L,-1.32,2.92
ACOT8,1.06,2.87
ACOT9,1.11,3.45
ACOX1,0.87,3.46
ACOX2,1.21,2.53
ACOX3,1.11,2.56
ACOXL,1.39,2.65
ACP1,-2.54,3.86
ACP2,1.24,2.28
ACP3,1,3.01
ACP4,-0.08,3.09
ACP5,-0.38,3.81
ACP6,0.43,3.81
ACP7,-1.06,2.23
ACR,2.68,2.05
ACRBP,1.55,3.05
ACRV1,0.11,3.08
ACSBG1,-1.82,4.28
ACSBG2,-1.6,4.34
ACSF2,-1.09,3.02
ACSF3,-0.8,3.37
ACSL1,0.13,2.99
ACSL3,-0.94,2.76
ACSL4,-0.68,3.39
ACSL5,0.5,3.15
ACSL6,1.32,2.98
ACSM1,0.91,3.11
ACSM2A,-1.54,3.38
ACSM2B,-0.44,3.4
ACSM3,-3.58,4.06
ACSM4,0.03,1.94
ACSM5,1.29,3.31
ACSM6,0.85,3.13
ACSS1,-0.42,3.81
ACSS2,-0.48,3.86
ACSS3,-0.32,0.92
ACTA1,-2.03,3.9
ACTA2,-0.69,3.54
ACTB,-0.63,3.17
ACTBL2,-0.55,3.47
ACTC1,-0.43,3.42
ACTG1,-0.06,3.13
ACTG2,-0.47,3.6
ACTL10,0.18,3.25
ACTL6A,0.01,3.11
ACTL6B,-0.34,3.16
ACTL7A,-0.95,3.45
ACTL7B,-2.13,3.65
ACTL8,-2.65,3.82
ACTL9,-3.44,3.9
ACTN1,-2.44,3.84
ACTN2,-1.44,3.57
ACTN3,-0.6,3.62
ACTN4,—,3.84
ACTR10,0.52,3.26
ACTR1A,-1.76,3.94
ACTR1B,-2.3,3.86
ACTR2,-0.68,3.21
ACTR3,-0.11,3.25
ACTR3B,-0.6,3.07
ACTR3C,4.61,—
ACTR5,0.48,3.32
ACTR6,0.69,3.16
ACTR8,1.28,3.2
ACTRT1,-2.91,3.85
ACTRT2,-2.1,3.89
ACTRT3,-1.91,3.86
ACVR1,-1.71,3.92
ACVR1B,-1.7,3.92
ACVR1C,-2.37,3.9
ACVR2A,-0.2,3.11
ACVR2B,-0.53,2.71
ACVRL1,-1.5,3.86
ACY1,-1.86,3.87
ACY3,-2.05,3.98
ACYP1,-1.73,3.88
ACYP2,-2.05,3.91
ADA,-1.8,2.71
ADA2,0.8,3.26
ADAD1,-1.27,3.55
ADAD2,-1.88,3.66
ADAL,0.05,3.07
ADAM10,—,2.15
ADAM11,0.05,2.91
ADAM12,-1.48,3.34
ADAM15,-3.42,3.79
ADAM17,-3.42,3.93
ADAM18,-2.67,3.95
ADAM19,-1.98,3.82
ADAM2,-1.01,3.26
ADAM20,-0.24,2.54
ADAM21,-0.65,2.24
ADAM22,-1.08,3.63
ADAM23,-0.88,3.88
ADAM28,-1.92,4.01
ADAM29,-0.48,3.99
ADAM30,-0.22,3.52
ADAM32,0.23,2.39
ADAM33,—,2.77
ADAM5,-1.01,3.27
ADAM7,-1.18,3.16
ADAM8,-1.6,3
ADAM9,-0.54,2.97
ADAMDEC1,-1.16,3.28
ADAMTS1,-0.75,4.18
ADAMTS10,-2.29,3.39
ADAMTS12,-1.96,3.39
ADAMTS13,-1.87,3.38
ADAMTS14,—,3.18
ADAMTS15,1.93,2.67
ADAMTS16,1.47,2.9
ADAMTS17,1.54,1.86
ADAMTS18,-1.64,4.18
ADAMTS19,-1.57,4.21
ADAMTS2,-0.82,4.16
ADAMTS20,-1.27,4.22
ADAMTS3,-1.48,4.22
ADAMTS4,0.66,1.85
ADAMTS5,0.23,3.34
ADAMTS6,1.08,3.48
ADAMTS7,1.57,3.46
ADAMTS8,0.95,3.08
ADAMTS9,1,2.91
ADAMTSL1,0.26,3.18
ADAMTSL2,-1.23,3.55
ADAMTSL3,-1.67,3.33
ADAMTSL4,-0.36,2.38
ADAMTSL4-AS1,-1.52,3.12
ADAMTSL5,-0.06,3.64
ADAP1,-0.18,3.3
ADAP2,-0.28,3.3
ADAR,-0.02,3.9
ADARB1,0.31,3.2
ADARB2,0.65,2.82
ADARB2-AS1,-1.37,3.3
ADAT1,-0.83,3.46
ADAT2,-1.11,3.21
ADAT3,-0.89,3.53
ADCK1,0.73,3.03
ADCK2,2.9,2.42
ADCK5,-0.63,3.4
ADCY1,-0.51,3.58
ADCY10,-0.56,3.54
ADCY2,-0.69,3.46
ADCY3,-0.52,3.04
ADCY4,-1.2,3.68
ADCY5,-1.34,3.63
ADCY6,-0.9,3.61
ADCY7,-0.6,3.51
ADCY8,-1.59,3.68
ADCY9,-1.31,3.54
ADCYAP1,1.1,3.09
ADCYAP1R1,-0.86,3.37
ADD1,-0.33,3.35
ADD2,-0.73,3.42
ADD3,-0.44,3.39
ADGB,-0.83,3.37
ADGRA1,-0.34,4.14
ADGRA2,-1.38,4.12
ADGRA3,1.17,2.89
ADGRB1,1.1,2.92
ADGRB2,0.91,2.96
ADGRB3,0.09,3.31
ADGRD1,0.74,3.73
ADGRD2,-1.11,2.38
ADGRE1,-1.52,2.28
ADGRE2,-1.68,2.61
ADGRE3,—,2.36
ADGRE4P,-1.85,3.1
ADGRF1,-1.2,2.92
ADGRF2,-1.19,3.18
ADGRF3,-3.76,3.25
ADGRF4,-0.44,3.24
ADGRF5,-0.17,3.38
ADGRG1,1.77,2.81
ADGRG2,1.68,—
ADGRG3,0.44,3.2
ADGRG4,0.71,1.26
ADGRG5,-1.73,3.18
ADGRG6,1.12,3.07
ADGRG7,-0.41,3.41
ADGRL1,-1.18,3.41
ADGRL2,-0.25,2.89
ADGRL3,-0.85,3.33
ADGRL4,-0.53,3.22
ADGRV1,-3.38,3.81
ADH1A,-0.44,3.07
ADH1B,-0.45,3.09
ADH1C,0.18,3.12
ADH4,-0.61,3.09
ADH5,—,3.95
ADH6,-0.33,3.07
ADH7,-0.8,3.09
ADHFE1,-0.29,3.61
ADI1,2.87,2.98
ADIG,-0.58,3.07
ADIPOQ,-0.77,3.12
ADIPOR1,2.36,3.16
ADIPOR2,-0.32,1.83
ADIRF,0.87,3.44
ADK,—,3.46
ADM,-1.19,2.9
ADM2,0.93,3.36
ADM5,-0.25,3.07
ADNP,-1.68,3.29
ADNP2,-0.98,3.16
ADO,-2.2,3.9
ADORA1,-0.02,3.4
ADORA2A,0.27,3.42
ADORA2A-AS1,1.35,—
ADORA2B,-0.15,3.4
ADORA3,-0.34,3.4
ADPGK,-0.85,3.25
ADPRH,-1.18,3.51
ADPRHL1,-0.17,3.42
ADPRM,-1.29,3.48
ADRA1A,-0.88,2.31
ADRA1B,-0.18,2.83
ADRA1D,-0.12,2.7
ADRA2A,-1.08,3.99
ADRA2B,-0.39,3.97
ADRA2C,-1.03,2.66
ADRB1,-0.05,3.63
ADRB2,-0.79,3.51
ADRB3,-0.42,3.08
ADRM1,-0.51,3.07
ADSL,-0.44,2.96
ADSS1,0.88,2.85
ADSS2,0.07,2.69
ADTRP,-0.2,3.41
AEBP1,-0.78,3.79
AEBP2,0.82,3.51
AEN,-1.01,3.86
AFAP1,-1.49,3.95
AFAP1L1,1.16,3.5
AFAP1L2,0.83,3.56
AFDN,-1.21,3.94
AFDN-,-1.32,3.4
AFF1,-0.07,3.43
AFF2,-0.16,3.74
AFF3,-0.15,3.43
AFF4,—,3.35
AFG1L,-1.46,3.13
AFG3L2,-0.62,3.66
AFM,-1.08,3.95
AFMID,-1.94,3.87
AFP,0.95,2.65
AFTPH,-0.16,2.81
AGA,-0.99,3.32
AGAP1,-1.02,1.71
AGAP11,0.36,2.96
AGAP2,-0.19,3.32
AGAP3,0.54,3.32
AGAP4,1.06,2.79
AGAP5,-1.35,2.99
AGAP6,0.11,2.77
AGAP7P,-0.84,3.39
AGAP9,-1.93,3.4
AGBL1,-1.53,3.08
AGBL2,-0.74,2.4
AGBL3,0.69,3.13
AGBL4,1.35,2.7
AGBL5,0.59,3.55
AGER,-0.35,2.85
AGFG1,-1.2,3.23
AGFG2,-2.34,3.45
AGGF1,-1.93,3.81
AGK,-1.5,4.18
AGL,-1.17,2.95
AGMAT,0.54,3.27
AGMO,-1.26,2.71
AGO1,-1.22,4.25
AGO2,-2.18,4.17
AGO3,-0.91,4.24
AGO4,-0.89,4.2
AGPAT1,-2.77,3.89
AGPAT2,0.51,3.16
AGPAT3,0.09,3.22
AGPAT4,-0.7,3.4
AGPAT4-IT1,-2.28,3.59
AGPAT5,-0.08,3.06
AGPS,-1.68,3.55
AGR2,—,4.23
AGR3,-1.28,4.22
AGRN,1.37,2.76
AGRP,-1.71,3.86
AGT,1.55,3.24
AGTPBP1,1.06,2.14
AGTR1,0.15,2.69
AGTR2,-0.43,2.87
AGTRAP,-1.33,4.1
AGXT,—,—
AGXT2,-2.92,3.67
AHCTF1,0.49,3.46
AHCY,-2.18,3.24
AHCYL1,-0.99,3.29
AHCYL2,-2.38,3.5
AHDC1,0.58,3.42
AHI1,-1.83,3.33
AHNAK,-1.29,3.43
AHNAK2,-1.62,3.43
AHR,-3.32,3.82
AHRR,-0.64,3.32
AHSA1,0.77,1.49
AHSA2P,1.17,3.4
AHSG,-1.65,3.89
AHSP,1.77,2.91
AICDA,-0.49,2.8
AIDA,-0.63,3.62
AIF1,—,2.82
AIF1L,1.57,1.11
AIFM1,0.78,2.86
AIFM3,1.75,3.22
AIG1,1.61,2.87
AIM2,—,1.97
AIMP1,3.74,2.8
AIMP2,1.5,3.43
AIP,-0.3,1.57
AIPL1,1.71,3
AIRE,2.52,3.1
AJAP1,2.04,3.27
AJM1,2.39,2.85
AJUBA,3.66,2.6
AK1,0.15,2.91
AK2,0.32,3.45
AK3,1.36,2.86
AK4,-0.32,3.33
AK5,1.64,2.93
AK6,-0.28,3.66
AK7,-0.33,3.66
AK8,-0.12,3.76
AK9,—,3.7
AKAIN1,1.26,3.07
AKAP1,0.24,2.52
AKAP10,1.41,3.6
AKAP11,0.77,3.53
AKAP12,1.09,3.39
AKAP13,-1.89,3.96
AKAP14,1.05,3.39
AKAP17A,-0.57,3.25
AKAP2,—,2.67
